CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Cluster
12346.0,5.786897381366708,0.6931471805599453,11.253955234248428,1,1,4,114,6,Occasional,2
12347.0,0.6931471805599453,2.0794415416798357,8.368925174747135,4,4,4,444,12,At-Risk,3
12348.0,4.31748811353631,1.6094379124341003,7.494563687769957,2,3,4,234,9,Occasional,2
12349.0,2.9444389791664403,0.6931471805599453,7.472244884833674,3,1,4,314,8,High-Value,0
12350.0,5.736572297479192,0.6931471805599453,5.815323849389109,1,1,2,112,4,Regular,1
12352.0,3.58351893845611,2.1972245773362196,7.826858053356098,3,4,4,344,11,Occasional,2
12353.0,5.318119993844216,0.6931471805599453,4.499809670330265,1,1,1,111,3,Regular,1
12354.0,5.44673737166631,0.6931471805599453,6.985086621918461,1,1,3,113,5,Regular,1
12355.0,5.365976015021851,0.6931471805599453,6.132095676847728,1,1,2,112,4,Regular,1
12356.0,3.1354942159291497,1.3862943611198906,7.941804157314053,3,3,4,334,10,Occasional,2
12357.0,3.4965075614664802,0.6931471805599453,8.733701981297274,3,1,4,314,8,Occasional,2
12358.0,0.6931471805599453,1.0986122886681098,7.063955286074528,4,2,3,423,9,High-Value,0
12359.0,4.060443010546419,1.6094379124341003,8.750054175177759,2,3,4,234,9,Occasional,2
12360.0,3.9512437185814275,1.3862943611198906,7.887231116540211,2,3,4,234,9,Occasional,2
12361.0,5.659482215759621,0.6931471805599453,5.251749730731702,1,1,1,111,3,Regular,1
12362.0,1.0986122886681098,2.3978952727983707,8.56163678004062,4,4,4,444,12,At-Risk,3
12363.0,4.700480365792417,1.0986122886681098,6.315358001522335,2,2,2,222,6,Regular,1
12364.0,2.0794415416798357,1.6094379124341003,7.180907299649593,4,3,3,433,10,High-Value,0
12365.0,5.673323267171493,1.0986122886681098,6.465180028897591,1,2,2,122,5,Regular,1
12367.0,1.3862943611198906,0.6931471805599453,5.135210028677887,4,1,1,411,6,High-Value,0
12370.0,3.9318256327243257,1.6094379124341003,8.172712169921061,3,3,4,334,10,Occasional,2
12371.0,3.8066624897703196,1.0986122886681098,7.543781692052325,3,2,4,324,9,Occasional,2
12372.0,4.276666119016055,1.3862943611198906,7.169380809114136,2,3,3,233,8,Occasional,2
12373.0,5.739792912179234,0.6931471805599453,5.901539839579995,1,1,2,112,4,Regular,1
12374.0,3.2188758248682006,0.6931471805599453,6.6119469443852195,3,1,3,313,7,High-Value,0
12375.0,2.3978952727983707,1.0986122886681098,6.127960291696519,4,2,2,422,8,High-Value,0
12377.0,5.752572638825633,1.0986122886681098,7.395795270713971,1,2,3,123,6,Occasional,2
12378.0,4.867534450455582,0.6931471805599453,8.29645175271804,2,1,4,214,7,Occasional,2
12379.0,4.406719247264253,1.0986122886681098,6.749040867823617,2,2,3,223,7,Occasional,2
12380.0,3.091042453358316,1.6094379124341003,7.910520910634419,3,3,4,334,10,Occasional,2
12381.0,1.6094379124341003,1.791759469228055,7.520944331624911,4,3,4,434,11,At-Risk,3
12383.0,5.220355825078324,1.791759469228055,7.523783805985769,1,3,4,134,8,Occasional,2
12384.0,3.367295829986474,1.0986122886681098,6.373780434317173,3,2,2,322,7,High-Value,0
12386.0,5.823045895483019,1.0986122886681098,5.998688392197302,1,2,2,122,5,Regular,1
12388.0,2.772588722239781,1.9459101490553132,7.930803150780256,4,4,4,444,12,At-Risk,3
12390.0,4.382026634673881,0.6931471805599453,6.311444385858925,2,1,2,212,5,Regular,1
12391.0,3.091042453358316,0.6931471805599453,6.0882736030360425,3,1,2,312,6,High-Value,0
12393.0,4.276666119016055,1.6094379124341003,7.3674560152319755,2,3,3,233,8,Occasional,2
12394.0,4.1588830833596715,1.0986122886681098,7.149508589545504,2,2,3,223,7,Occasional,2
12395.0,2.9444389791664403,2.5649493574615367,8.012889586306857,3,4,4,344,11,At-Risk,3
12397.0,3.58351893845611,1.0986122886681098,7.7877554007552545,3,2,4,324,9,Occasional,2
